Esquema Terapêutico,Frequência
AC,77599
AC-T,32488
ACT,24687
PACLITAXEL,19020
ANASTROZOL,16743
INI4,15275
FAC,14663
TAXOL,13905
"CICLOFOSFAMIDA,",12051
AC+T,10818
AC T,9051
AC: ADM+CTX,7569
HERCEPTIN,7104
AC3,6685
"TAXOL,AC,",6324
DOCETAXEL,6221
AC-TEL SEMANAL),5552
AC+TAXOL,5315
AC/TAXOTERE,5190
"TAXOL, AC",5045
TAC,5034
AC-TEL SEMANAL,4972
AC-TH,4206
IV INTRAVENOSO,4154
PACN,4120
CICLOFOSFAMIDA,4087
"AC-T(DOXO,CICL",4004
TAMOXIFENO,3899
AC/T,3828
AC/TAXOL,3435
PACLI- 4 SEMANA,3392
H4PA,3308
ACT CLASSICO- (,3118
"AC, PACLITAXEL",2953
AC -,2651
AC -ADRIBLASTI,2573
CMF,2562
"ADRIAMICINA, CI",2560
AC-D,2553
4AC+4T,2526
ACTH,2400
TAXOL(PACLITAX,2363
CICLOFOSFAMIDA+,2150
H4AC,2049
AC+TXT,1881
AC-PACLITAXEL,1860
TRASTUZUMABE,1856
TMX,1852
ADRIA/CICLO,1808
TC,1800
TXT,1787
TCH,1667
TAXOLTAXOL,1650
AC +TXT,1613
ADRIAMICINA/CIC,1602
Ciclofosfamida+,1575
DOXO+CICLO,1551
AC/DO,1501
LETROZOL,1481
"IV INTRAVENOSO,",1422
AC/DOCETAXEL,1411
"PACLITAXEL, TRA",1393
"AC,",1382
AC -TAXOL,1382
TH,1342
AC /TAXOL,1282
CICLO/DOXO,1210
XELODA,1205
AC-TAXANE,1199
PAC3,1182
TAXOT,1179
DOXORRUBICINACI,1156
AC-TAXOL,1148
AC/D,1126
act,1106
PACLITAXELTRAST,1105
TAXOLHERCEPTIN,1094
TAXOL AC,1072
ANASTRAZOL,1072
PACLI- 3 SEMANA,1070
AC -T,1058
CICLOFOSFAMI+DO,1048
AC+TX,1009
DOXORRUBICINA,1001
"CARBOPLATINA, D",999
ac,994
DCT,989
"AC /TAXOL,",987
NACATE,980
CAPECITABINA,974
TAXOL+HERCEPTIN,974
PACLI,968
CICLOFO+DOXORRU,956
AC/TX,927
ac-t,922
4AC+TAXOL,916
034 -Ciclofosf,914
AC +T,903
DOCE,903
CICLOSFOSFAMIDA,895
"PACLITAXEL,",889
DOCE/CARBO,882
DOCETAXEL/CARBO,877
FEC,854
120PACLITAXEL,848
ADRIBLASTINA/GE,846
ECT,821
ANASTROZOL 1MG,787
"CARBOPLATINA, T",779
AC/TAXANE,779
DOXOCICLO,774
PCT,767
"TAXOL, HERCEPTI",763
CARBO/TAXOL,744
FAC +,726
QT,710
ADRIAMICINA,704
AC (DOXO/CICLO),700
"AC-PACLITAXEL,",700
"PACLITAXEL, HER",691
TAXOL/CARBO,690
CARBO+TAXOL,673
AC D,673
AC TX,666
DOXORRUBICINA+C,665
"DOXORRUBICINA,",653
ANA,648
AC/DOCE,632
ACD,624
AC -(DOXO + CI,620
CARBO/DOCETAXEL,618
CICLO+DOXO,601
AT,591
"CARBOPLATINA, P",590
AC +,587
ANASTANASTROZOL,578
ARIMIDEX,576
TAXOL+CARBO,566
4AC4T,562
HERCEPTIN (TRAS,562
AC+DOCETAXEL,559
"DOCETAXEL, TRAS",558
"CTX,DOXORRUBIC",554
ac +txt,554
DOXO/ICLO,536
"TAXOL, CARBOPLA",533
"PACLITAXEL, CAR",509
AC X4,497
ANAST,491
ANASTROZOL ( AR,478
4AC+8T,476
46+34+120,476
AC TAXOL,470
AC TH,467
ADRIA,463
AC+TH,457
FAC/t,450
"AC,DOCETAXEL,",450
DAC,447
L,445
paclitaxel,443
PACLITAXELHERCE,443
FACx3,440
4AC-12T,440
"TAXOL,",438
.,426
"CARBOPLATINA, C",424
TAXOTERE,424
Paclitaxel,419
"TAXOL, CICLOFOS",416
AC-TCLITAXEL,416
VO VIA ORAL - A,414
"DOCETAXEL, HERC",404
4AC,404
AC-T(ACLITAXEL),402
CICLOFOSFAMIDA/,401
029 -Carboplat,398
CARBO/ TAXOL,397
"DOCETAXEL, CARB",392
AC-TACLITAXELS,390
CARBOTAXOL,378
DOXO/CICLO,377
"AC, TAXOL",376
AC -ADRIBLAST,375
VO VIA ORAL - T,373
XX,370
TMF,367
4AC/4T,367
HERCEPTIN+TAMOX,367
PACLITAXEL(120),366
120 -Paclitaxe,362
ANS,360
ACAC,354
PACLITAXEL+TRAS,354
120PACLITAXEL+1,354
4AC/8T,352
Trastuzumabe+Pa,350
PACLITAXEL/HERC,349
"AC, CARBO/TAXOL",346
HERCEPTIM,345
TAMOX,342
FAC /,341
ac-th,338
AC___,336
DOXO,335
TRASTUZU/DOCE,334
AC+Trastuzumabe,332
CARBO/DOCE,328
TAXOTERE/CARBO,326
AC-DOCE,325
4AC+12T,324
"HERCEPTIN, PACL",322
acth,322
TRASTU+TAXOL,320
"ACT,HERCEPTIN",307
PTX,307
PACLITAXEL/AC,302
4AC/1T,302
Paclitaxel+Tras,300
EC T,300
CICLOFOSFA+DOXO,298
Paclitaxel100mg,294
CDDP/ADRIA,294
AC-TC,291
CT,291
anastrozol,290
TAXOL/HERCEPTIN,289
AC -RCEPTIN,288
AC-P,284
A/C-T,280
Anastrozol,278
AC +TxT,278
AC-TACLITAXEL),274
DOXO+CICLOFOSFA,272
FAC+T,272
PACLITAXEL+HERC,272
"PACLITAXEL, AC",268
HERCEPTIN/TAXOL,268
"DOCETAXEL, CICL",266
"AC, FILGRASTIM",260
AC-TTDOCETAXEL,260
DOCETL,260
TRASTUZUMAB,258
taxol,258
ANASTROZOL(011),256
"DOCETAXEL,",255
TRASTU/DOCETAX,252
DOXO+CTX,250
ACT-D,249
PACLITAXEL / CA,248
CARBO,247
