Ano,graus_histopatologicos
2008,"['GX', 'G2', 'G3', 'G1', 'G4', '03', '06', '01', '02', '09', '00', '4', '10', '2', '1', '0', 'II', 'I', '9', '3', 'X', '20', 'Nã', '5', '04', '11', '07', 'SG', 'G', 'GH', 'B2', '2B', 'S', 'X0', '22', '08', '30', '31', '3C', '27', '60', 'N', 'G6', 'B1', 'XX', 'O', 'G0', 'A', '05', '12', 'B', 'A2', '24', '32', '2S', '21', '3]', 'AL', '6', '2A', 'C2', 'G7', '25', 'GL', '1A', 'S0', '3A', '23', '7', '33', '2N', 'Ba', '0,', ',0', '52', 'Al', 'NT', '16', 'C', '26', 'M¿', '71', 'CH', '40', '91', '8', '14', 'Desconhecido', 'BX', 'IV', '28', '81', 'OO', 'GI', '13', '4G', '0X', '3G', 'BA', 'GG', '0-', 'X2', 'NI', 'N0', '50', 'X3', '99', 'G8', '0I', '18', '??', '29', '19', '--', 'ND', '41', '44', 'CD', 'GT', '3S', 'F1', '0S', '0\\', '0N', '80', '0.', '1S', 'NC', 'X1', '61', 'S1', 'MX', 'S2', 'NE', '2C', 'GC', '2.', 'NM', 'X.', 'C3', ',', '42']"
2009,"['G3', 'G2', 'GX', 'G1', 'G4', '1', '4', '3', '2', '00', '03', '02', '01', '0X', '0', '04', 'I', 'II', 'X', '10', '06', 'NT', 'N', '5', 'M¿', 'SG', 'Nã', '09', '20', '21', '07', 'Al', '30', 'GL', 'IV', 'AL', '23', '41', '6', '05', 'Desconhecido', 'G6', '25', '18', 'XX', '31', '4N', '4G', 'G7', 'BX', 'GI', '08', '32', '.', '8', '22', '19', 'BA', '--', 'G8', '11', '15', '42', 'GE', 'S0', '7', '61', 'I0', '27', 'X0', '81', '60', '50', '2S', '40', '12', '-', '9', '24', 'C1', '1S', '13', 'Ba', 'D2', '29', '28', 'T4', 'G', 'ND', 'gx', '2I', '92', '80', 'S2', '2B', '2A', 'S1', '26', '3B', 'N2', 'N0', 'NC', 'A', '1A', 'X2', 'X1', 'C3', '0I', 'NE', '1N', 'N1', 'MC', 'GH']"
2010,"['GX', 'G1', 'G2', '1', '4', '3', 'G3', '2', 'G4', '7', '02', '0', 'II', 'I', '01', '03', '00', 'Nã', 'SG', '04', '06', '0X', 'X', '10', '5', 'Al', '14', '09', '08', '05', 'XX', 'AL', 'Desconhecido', '6', '13', '21', 'IV', 'GL', '11', '30', 'GI', 'NT', '33', '29', 'Ba', '22', '43', '61', '07', '23', '32', '9', '20', 'BA', 'B', '19', '2A', ',2', '18', '17', '60', 'T4', 'G0', '24', '12', '27', '--', '15', '16', 'A', 'O', '71', '1N', '31', '2,', 'N1', 'V', ',', '1I', 'X0', 'G', 'ND', '40', '3B', 'S', '42', '2B', '80', 'NC', 'GH', 'AN', 'X1', '3N', 'NE', 'X2', '0I', 'NM', '-', 'G6', 'MN', 'M¿', 'N', 'C5', '50', 'GC', '25']"
2011,"['4', 'GX', 'G2', 'G1', 'G3', '1', '3', '2', 'G4', '7', '02', '15', '03', '00', '01', '0', 'II', '04', '19', 'I', '06', 'X', 'G0', '0X', '5', 'Nã', '16', 'NT', '10', '05', 'SG', '18', '08', '09', '33', '20', '22', 'Al', '9', '21', 'IV', '23', '29', 'V', 'N', 'XX', 'GI', '11', '4G', '32', '2G', 'Ba', '13', 'X0', '62', '07', 'BA', '1G', '60', 'Desconhecido', '35', 'M¿', 'IA', '30', '3B', 'F1', '--', 'XS', '14', '12', 'X3', '17', '24', '31', 'NI', '41', 'AL', '42', 'X1', '-', '8', '6', '2A', '2B', '3A', '3G', 'J', '3C', 'NC', 'C2', 'G6', '50', 'ZX', '2N', '3N', 'CC', 'C5', '1N', 'G', 'GC', 'NE', 'CX', 'N0', '1X']"
2012,"['G2', 'GX', '2', '3', '1', 'G3', '4', 'G1', 'G4', '02', '01', '00', '0', '16', '03', '8', 'X', '9', 'II', '15', '04', '06', '19', '12', 'SG', '10', '05', '0X', 'I', 'NT', '17', '11', '5', '14', '20', '2A', '-', '18', 'G0', '09', '07', '7', '6', 'Desconhecido', '13', '51', 'AL', '21', '31', '-*', 'X2', 'N3', '30', '28', '26', 'GT', 'XX', 'G5', 'X4', '32', '41', 'NI', 'G9', 'O', '22', 'GI', '23', '42', 'C', '.X', 'G6', '80', '62', '63', 'G7', 'V', '33', 'ND', '2B', '3A', '3B', 'NÒ', '3C', 'G8', 'BX', 'X1', '1G', '2G', '60', 'B?', '29', 'NE', '08', 'NC', 'X0', 'GC', '4C']"
2013,"['2', '1', 'GX', 'G2', 'G3', '4', '3', 'G1', 'G4', '5', '01', '02', '03', 'II', '0', '00', '8', '11', 'I', '9', '15', '18', '19', 'NT', '7', 'X', '04', '05', '12', '06', '10', '0X', '16', 'SG', '6', '14', '-', '22', 'G6', '23', 'G7', '13', '09', '20', 'V', ',0', '30', '21', '08', '07', '31', 'NI', 'Desconhecido', 'X0', '25', '32', '33', 'Z', 'N', 'C', '2A', '80', '2X', '29', '40', 'G5', '50', '2G', 'C5', 'F2', 'X1', 'GC', '36', 'GI', '51', 'D2', 'BA', '0,', '28', 'ND', '3B', '2B', '3A', '3C', 'A', 'B', '52', '4B', 'IV', '45', 'MD', 'UV', 'BD', 'GB', 'XX', 'G0', 'NE', '42', 'HX', 'H2', 'GT']"
2014,"['3', 'GX', '1', 'G2', 'G3', '4', '2', 'G1', '10', '9', '02', '8', '03', 'II', '0', '01', '5', 'G6', '00', '06', '11', '15', '04', '0X', 'X', '13', 'I', '19', '14', '18', 'G4', '12', '6', '16', 'NT', '32', '7', 'GI', '05', 'G5', ',4', '0I', '21', 'X0', '23', '07', '30', 'SG', 'A', '-', 'BA', 'CA', '20', '09', 'XX', '4G', 'Desconhecido', '17', 'F2', 'NI', '22', '0,', 'G8', '33', 'N', '1X', '3]', '40', 'GH', '25', 'AL', 'C5', '..', 'V', 'T2', 'ND', 'IV', '90', 'X2', 'G9', '3A', 'MD', '52', 'X3', 'S', 'G0', '3G', 'G', 'F3', '31', '08', '3X', 'TG', '81']"
2015,"['GX', '2', 'G1', '3', 'G3', '1', 'G2', 'G4', '4', '5', '6', '7', '0', '03', '02', '01', '0X', '00', 'II', '15', 'X', '9', '10', '8', '11', 'G6', '06', '07', 'I', '16', '04', 'G', 'F2', '30', 'NT', 'GH', '-', '19', 'XX', 'G5', '05', '20', '13', '12', 'E', '18', '40', '14', 'AL', 'SG', 'N', '4A', 'Z', 'EC', '21', '49', 'GT', '08', 'BA', 'ND', '1G', 'VB', '22', 'G9', '31', 'X2', 'X1', '23', 'MD', 'GE', 'CX', '80', 'X3', 'GC', '2A', '90', '2,', '32', '2B', '29', '3X', 'GI', 'xx', '1]']"
2016,"['3', '4', '1', 'G3', 'GX', 'G2', '2', 'G1', '5', '6', 'G4', '0', '03', '00', '01', '02', 'I', 'II', '15', '8', 'X', '20', '9', 'G6', '30', '0X', '04', 'BX', '10', '18', '11', '19', '7', 'XX', 'EC', 'G', '16', 'AL', 'NT', '14', '06', '12', '4A', '22', '17', 'V', '05', 'X0', 'G5', '33', '13', '-', '40', 'GH', '27', 'F2', 'g', 'E', '08', '60', 'X1', 'Z', 'SG', '07', 'BA', 'GI', 'GZ', 'HX', '09', '--', 'G8', 'GC', 'X2', '32', 'AD', '21', 'GT', '9*', 'Desconhecido', '41', 'BD', 'PD', 'GR', 'GL', '24', '51', 'GG', 'B', '2G', 'G7', 'G0', 'ad', 'G9', 'ND', ',', '31', 'FX', '1G', '3A', '1,', 'GF', 'xx', '3X', '3]']"
2017,"['GX', 'G2', '3', 'G3', '4', '1', '2', 'G1', '5', '6', 'G4', '03', '01', '0', '02', '00', 'II', '15', '8', 'G6', 'G', '16', '0X', 'X', '9', '19', '20', '10', 'XX', 'I', '11', 'EC', '05', '04', '06', '30', 'NT', '40', '7', 'BX', 'GR', 'AL', 'AD', '14', '18', '-', '13', 'GH', '22', 'Z', 'E', 'NE', '--', 'SG', '07', 'G5', '12', 'C5', 'GT', 'Ad', 'BA', 'IV', 'GI', 'X.', '17', '4A', 'g', '21', '27', '23', 'V', 'S', 'EG', '26', '32', '08', '31', 'N', 'GJ', 'G7', '50', '2G', 'HE', 'C2', 'gr', '3B', 'Desconhecido', 'MO', 'F2', 'ND', 'X3', 'X0', '3G', 'G9', 'X2', '2A', '3A', '2B', '3C', 'B', '09', '29', '36', '0,', 'G0', '1G', 'GA', '2.', 'X1', 'xx', '25', '3X', '4S', '42']"
