AP_PRIPAL,esquema_terapeutico
304020010,['5 FU/LV' '5FULV']
304020028,['OXOPLATINA' 'XELODA/ZOMETA' 'XX' 'IFL']
304020036,['MEG2' 'XX' 'CIS+ADRIA' 'ARIMIDEX' 'ANASTR' 'ANASTROSOL']
304020044,['XX']
304020052,['GEMZAR' 'FU/LV']
304020060,['ANDROCUR' 'TMX' 'ZOLADEX' 'XX' 'CIP']
304020079,['DESTIBENOL' 'ZOLADEX' 'LUPRON + TMX' 'CASODEX']
304020095,['5FU LEUCO']
304020109,['OXALIPLATINA']
304020125,['ANASTRAZOL' 'ANASTROZOL' 'ARIMIDEX']
304020133,"['FAC' 'PACLITAXEL' 'PACLITAXEL+PAM' ... 'GENZAR+CARBO+FI'
 'DOCETAXEL + CAR' 'PACLI+ZOM']"
304020141,"['GENZER /DDP/PAM' 'GEN./ PAM  . D' 'XELODA' ... 'CARBOTAXOLGRAMU'
 'GEMCITABINA E P' 'CAPECITABINA+AN']"
304020168,['INTERFERON' 'TAMOXTAMOXIFENO']
304020184,['MTX' 'CDDP/BLEO' 'NUB' 'CAPECITABINA']
304020206,['CMF' 'ASPLATIVO' 'CDDP' 'CISPLATINA']
304020214,['CARB/TAXOL']
304020222,['TAXOL']
304020230,['XX' 'INTRON' 'OACLITAXEL+BONE']
304020249,['CDDP']
304020257,['CDDP/5-FU']
304020265,['XX']
304020273,['TMX' 'CARBO+TATOL' 'TAXOL+PLATINA' 'CIPLOSTATOL' 'GENZAR']
304020281,['XX' 'FAC']
304020290,['XX' 'DOXO/IFO']
304020338,"['ARIMIDEX' 'TAMOXIFENO' 'ANASTROZAL' ... 'ZOMETA ANASTROZ'
 'TAMOXIFENO / AC' 'PAMIDRONATO/LET']"
304020346,"['TAMOXIFENO' 'TMX' 'PAM+TMX' ... 'ZOLADEX, FASLOD' 'FASLODEX+ZOM'
 'letrozolezometa']"
304020354,"['LETROZOL' 'AROMASIN' 'TAXOL' 'ARIMIDEX/AREDIA' 'ARIMIDEX'
 'MEGESTAT+PAMIDR' 'MEGESTROL/AREDI' 'ANASTRAZOL' 'EXAME' 'LUPRON/AREDIA'
 'AROMASIM' 'ARIMIDEX+AREDIA' 'ARIMARIM' 'AROMASIM/AREDIA' 'FEMARA'
 'TELAD' 'FEMAR' 'LETRO' 'A' 'exemestano' 'LEMAR' 'TMX+ZOLADEX' 'ARIMEDEX'
 'ARIMIDEX 1GR' 'TMX' 'AROMASIN AROMAS' 'HORMO' 'paclit' 'L' 'EXEMESTANO'
 'TAMOXIFENO / AR' 'AROMA' 'ARIMIDEX/BONEFO' 'AROMASIN+OSTAC'
 'ANASTROZOL ANAS' 'ANASTROZOL' 'TAXOLFEMARA' 'TAMOXIFEN' 'FEMARA+AREDIA'
 'ARIMI' 'APOMI' 'FEMARA + CLODRO' 'Arimidex' 'ANAST' 'ARIMIDEX+OSTAC'
 'TAMOXIFENO' 'FEMARA/AREDIA' 'HORMO2¦L+BONEFO' 'FEMARA FEMARA'
 'MEGESTAT+AREDIA' 'ANOST' 'ARIMIDEX IG' 'ARIMIDEX/OSTA' 'FASLODEX' 'T'
 'FNO' 'ZOLADEX/ARIMI' 'LETROZOL + ZOM' 'TXM' 'CAPECITABINA'
 'AROMASIN + ARED' 'FENARA' 'arimi' 'AR+FOAR+FOS' 'TAMOX'
 'ARIMIDEX+BONEFO' 'ZOMETA' 'ZOLADEX' 'ARIMARIM + FOS' 'LETROZOL 2,5 MG'
 'ZOM +ARIM' 'ARIMIDEX/ZOMETA' 'HORMONIO 2LINHA' 'ARIMI+AREDIA'
 'ARIM+ARIM+ARE' 'ARIMIDEX/OSTAC' 'FASLFASL + ARE' 'LTZ' 'AA' 'MEGESTAT'
 'ARIM+ARIM+ARED' 'AC' 'ZOLADEX+PAMIDRO' 'ANASTROZOL+PAMI' 'ARÉDIA FEMARA'
 'ARIMIARIMIDEX' 'XX' 'anast' 'FEMARO' 'ZOL +ZOL + ZOM' 'ARIM+ARIM+AREDI'
 'ARIM/ARIM/ARED' 'AREMIDEX' 'ARIARI' 'SS' 'ARED' 'FEC AVSTIN'
 'ARIMIDEX/ARE' 'ANASTR+ AREDIA' 'ZOL+AZOL+ARE+T' 'AROMASYM' 'ARMIDEX'
 'FEMARA/OSTAC' 'LUPRON+FEMARA+P' 'BRIMIDEX' 'AROMASIM+AREDIA'
 'TAMOX+ PAMIDRO' 'EXEMESTANO 25MG' 'INIB' 'ARIMI+OSTAC' 'ANASTL + PAMIDR'
 'ARIMARIM + ARE' 'TAMOXIFEMO' 'ARI' 'ARI/A' 'MEGESTAT+OSTAC' 'TMX/ZOMETA'
 'MEGESTAT + ARED' 'AROMASIN/OSTAC' 'Arimi' 'ANOSTROZOL' 'VO VIA ORAL -'
 'ANATROZOL/BONEF' 'ARE' 'AROMA+OSTAC' 'N' 'AROM' 'LETROPAMIDRONAT'
 'ARIMIDEX + ARED' 'BONEFOS' 'letro' 'QT' 'CPP' 'ANASTROZOL+BONE' 'A+Z'
 'MEGES' 'CLODMEG' 'AN' 'LEPROSOL' 'ARM' 'ANASTR' 'AROMASIN+BONEFO'
 'ANASTROZOL/BONE' 'ANASTANASTROZOL' 'AREDIA' 'PCT/OSTAC' 'ANATROZOL ( AR'
 'ARIMIEX' 'ARIM+ ARE' 'L+Z' 'LEUPRLINA-3,75M' 'FEC' 'ARIM' 'F'
 'ANASTROZOL ARE' 'TMX+AREDIA' 'ANASTRAZOL+ARED' 'TAMOXIFENO/OSTA'
 'ANASTROZOL+OSTA' 'TMX/OSTAC' 'MEGE' 'AREDIA+BONEFOS' 'HT T' 'E'
 'ARIMIDEX / A' 'ARIMIDEX+PAMIDR' 'ARIMI+ PAMIRONA' 'EXAM+ARED' 'PRIMIOEX'
 'FEM +ZOL' 'MEGESTAT/ZOMETA' 'LEUPRLINA 3,75M' 'EXEM+ARE' 'FEMORA' 'ANAS'
 'MEGESL' 'EXAMESTANO' 'AROMASIM AREDI' 'ANASTROZOL/OSTA'
 'ANATROZOL+BONEF' 'ANASTROZOL ARED' 'DOXO/CDDP' 'MEGESTAT/OSTAC'
 'ARIM+ARE' 'GEMCI' 'EXEM+ AREDIA' 'TAMOX+ AREDIA' 'FULVESTRANO'
 'Aromasin' 'ZOL+ARIM' 'AROMASIM / ARE' 'TAMOXIFE' 'LUPROPAMIDRONAT'
 'AROMASIN+AREDIA' 'FEMARA+BONEFOS' 'HORMONIOTERAPIA' 'LIVRE' 'Anast'
 'INIB.AROM/CLODR' 'TAXOL/CISPLATIN' 'ARIMIDEX/OTAC' 'PAM+ARIMIDEX'
 'AREDIA FEMARA' 'EXEME' 'ARIM+FEM' 'ANASTRO' 'TAMOXIFENO ARE'
 'Ar¿dia+Arimidex' 'ALE NEGST + INI' 'Exemestano' 'QUMUDEX6'
 'AROMASIN/BONEFO' 'AREDIA TAMOXIFE' 'PACLI' 'HETROZOLE' 'ZOMETA/ANASTOZO'
 'HERC' 'LETROZOL+ZOMETA' 'ANAS+PAMIDRONAT' 'TAM' 'TMX +' 'ANASTROSOL'
 'ANAZT' 'ZOLADEX+AREDIA' 'TMX+A' 'IA' 'ANASTROZOL 1MG' 'TAM+PAMI'
 'TAM +PAMI' 'TAM +' 'ANAST/ARED' 'AVAST/AREDIA' 'MEGESTQAT+PAMID'
 'TAM+POMID' 'ARIMIDEX PAMID' 'ZOLAD' 'XELOD' 'MEGESTROL' 'ANARTROZEL'
 'MEGESTAT + BONE' 'ANZ' 'MEGESTAT+PAMI' 'tmx' 'tamox' 'meges'
 'MEGESTAT+BONEFO' 'INIB.DE AROMATA' 'ana' 'exeme' 'Megestat+ Bonef'
 'Aroma' 'ANZ +' 'aroma' 'Exeme' 'ANASTRAZOL/PAMI' 'Megestat' 'ANASPAMIDR'
 'MGT +' 'CLODR' 'MAGES' 'MGT' 'ARIMIDEX ANASTR' 'MGT+O' 'MGT+' 'ZLD+TMX'
 'IA+BI' 'MGT+P' '*' 'MEGEST' 'MEGESTROL PAMI' 'ACET.DE MEGESTR'
 'EXEMESTANO PAM' 'AREDIA + FAC' 'MCT+P' 'taxol+pamidrona'
 'ANASTROZOL,INIB' 'ANASTROZOL PAM' 'MGT+BIF' 'MEGEST+PAMID' 'pam+m'
 'ANASTR, PAMID' 'MEG+P' 'FEMARA AREDIA' 'ARIMIDEZ' 'AC.MEG' 'HT'
 'MDP+INIBIDOR' 'FEMARFEMARA' 'TAMOXIFENO+OSTA' 'AREDIA+ARIMIDEX'
 'MEGESTROL+PAMID' 'ZOLADEX+OSTAC' 'ANASTRAZOL/ARED' 'TAM+AREDIA'
 'AREDIA ARIMIDEX' 'MAGESTAT+PAMIDR' 'ARIMID' 'BONEFOS+MEGESTA' 'MEG +'
 'MEGEST+BIF' 'TMX+OSTAC' 'DOCETAXEL' 'ARIM/PAM' 'DIETIL ESTILBES' 'FU/FA'
 'GENCI' 'ANASTROZOL+INIB' 'PACLITAXEL' 'MGT+AREDIA']"
304020419,"['PACLITAXEL+HERC' 'DOCETAXEL, TRAS' 'TAXOL+HERCEPTIN' ... 'DOXETAXEL+TP'
 'HERCEPTIN+PERTU' 'CAPECITABINA+AC']"
